micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
55297,0,0,0.00,0.00,0.41,0.00,-1.87,-0.05,-0.81,1586.00,1586.00,1586.00,1586.00
55727,0,0,0.00,0.00,0.15,0.00,-0.88,-0.40,-0.19,1592.00,1592.00,1592.00,15
55750,0,0,0.00,0.00,0.10,0.00,-1.25,-0.45,-2.19,1592.00,1594.00,1594.00,1592.00
55875,0,0,0.00,0.00,0.31,0.00,1.44,-0.27,1.81,1595.00,1595.00,1595.00,1595.00
56125,0,0,0.00,0.00,1.00,0.00,2.94,0.41,3.44,1598.00,1596.00,1596.00,1598.00
56329,0,0,0.00,0.00,0.01,0.00,-2.12,-0.50,-2,1597.00,1599.00,1599.00,1597.00
56574,0,0,0.00,0.00,0.89,0.00,2.12,0.35,4.19,1599.00,1597.00,1597.00,1599.00
56695,0,0,0.00,0.00,0.98,0.00,2.19,0.40,2.12,1599.00,1597.00,1597.00,1599.00
56804,1,1,6.89,-0.10,0.91,218.26,0.25,-6.99,-219.20,13862.00,1864.00,1864.00,1332.00
56940,1,1,51.87,7.13,18.76,558.11,382.69,-44.75,-272.61,1276.00,192877.00,1877.00,1319.00
57030,1,2,130.14,46.93,83.99,759.16,725.37,-83.21,-48.41,141411.00,1785.00,1785.00,1411.00
57250,1,3,292.35,158.76,-87.61,582.65,1196.94,-133.59,565.28,1898.00,1298.00,1298.00,1898.00
57349,1,3,332.81,219.40,14.19,339.41,961.81,-113.42,755.90,2000.02000.00,1156.00,1156.00,2000.00
57512,1,0,0.00,0.00,48.72,0.00,-412.37,55.30,-222.87,1542.00,1654.00,1654.00,63.00
57542,1,0,0.00,0.00,33.15,0.00,-568.87,43.55,-477.69,1434.00,1762.00,1762.00,1434.00
57577,1,0,0.00,0.00,1.34,0.00,-628.19,13.40,-681.62,1337.00,1800.00,1800.00,1351.00
57606,1,0,0.00,0.00,-13.29,0.00,-442.62,-4.70,-563.56,1373.00,1800.00,1800.00,1373.00
57635,1,0,0.00,0.00,-24.25,0.00,-342.00,-21.50,-408.87,1425.00,1771.00,1771.00,1425.00
57709,1,0,0.00,0.00,-27.05,0.00,143.75,-29.02,73.87,1610.00,1586.00,1586.00,1610.00
57732,1,0,0.00,0.00,0.61,0.00,265.06,-23.74,220.25,1671.00,1525.00,1525.00,1671.00
57834,1,0,0.00,0.00,11.75,0.00,308.25,4.93,341.06,100,1470.00,1470.00,1726.00
58066,1,0,0.00,0.00,21.85,0.00,-65.19,21.93,-26.81,1599.00,1597.00,1597.00,1599.00
58089,1,0,0.00,0.00,16.84,0.00,-140.56,19.14,-123.69,1560.00,1636.00,1636.00,1560.00
58148,1,0,0.00,0.00,9.59,0.00,-199.37,10.97,-194.81,1528.00,1668.00,1668.00,1528.00
58173,1,0,0.00,0.00,2.47,0.00,-177.12,5.25,-190.25,1526.00,1670.00,1670.00,1526.00
58189,1,0,0.00,0.00,0.95,0,-148.37,0.39,-154.19,1538.00,1658.00,1658.00,1538.00
58485,1,0,0.00,0.00,2.14,0.00,133.87,-1.07,128.12,1647.00,1549.00,1500,1651.00
58514,1,0,0.00,0.00,5.99,0.00,125.75,2.90,135.87,1653.00,1543.00,1543.00,1653.00
58774,1,0,0.00,0.00,13.09,0.00,-32.94,13.12,-8.06,1602.00,1594.00,1594.00,1602.00
58973,1,0,0.00,0.00,7.31,0.00,-85.75,8.42,-85.00,1570.00,1626.00,1626.00,1570.00
59157,1,0,0.00,0.00,2.38,0.00,42.19,1.40,33.00,1610.00,1584.00,1584.00,1610.00
59312,1,0,0.00,0.00,9.22,0.00,32.81,8.34,36.69,1617.00,1579.00,1579.00,1617.00
59477,1,0,0.00,0.00,8.18,0.00,-27.25,8.18,-29.31,1591.00,1603.00,1603.00,1591.00
59617,1,0,0.00,0.00,5.94,0.00,13.38,5.16,4.31,1602.00,15,1590.00,1606.00
59667,1,0,0.00,0.00,6.49,0.00,19.81,5.61,15.88,1606.00,1588.00,1588.00,1606.00
59928,1,0,0.00,0.00,8.58,0.00,-6.06,8.15,-7.25,1599.00,1597.00,1597.00,1599.00
60127,1,0,0.00,0.00,7.04,0.00,2.19,6.46,-1.56,1601.00,1595.00,1595.00,1601.00
60377,1,0,0.00,0.00,7.72,0.00,-2.00,7.27,-1.81,1600.00,1594.00,1594.00,1600.00
