millis,armed,flip,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
29467,1,0,-0.09,5.13,-0.75,1.00,0.62,0.06,-0.16,4.50,-0.68,0.00000023,1361.00,1361.00,1361.00,1361.00
29497,1,0,-0.09,5.14,-0.75,-0.44,0.00,-0.19,-0.16,4.51,-0.68,-0.00000004,1363.00,1363.00,1363.00,1363.00
29723,1,0,0.20,5.09,-0.74,-0.88,-0.19,-0.25,0.13,4.46,-0.67,-0.00000020,1374.00,1374.00,1374.00,1374.00
29955,1,0,0.12,5.08,-0.74,-0.19,-0.06,0.00,0.05,4.45,-0.67,-0.00000005,1379.00,1379.00,1379.00,1379.00
30009,1,0,0.16,5.07,-0.74,-0.94,0.13,-0.13,0.09,4.44,-0.67,-0.00000020,1383.00,1383.00,1383.00,1383.00
30301,1,0,-0.45,5.07,-0.75,0.56,0.00,0.81,-0.52,4.44,-0.68,0.00000025,1395.00,1395.00,1395.00,1395.00
30529,1,0,-0.05,5.07,-0.73,0.31,0.25,-1.31,-0.12,4.44,-0.66,0.00000009,1397.00,1397.00,1397.00,1397.00
30879,1,0,0.28,5.10,-0.73,6.25,-0.31,-0.13,0.21,4.47,-0.66,0.00000109,1395.00,1399.00,1399.00,1395.00
31108,1,1,0.16,5.10,-0.71,-5.00,-0.44,-0.88,0.09,4.47,-0.64,-0.00000094,1398.00,1396.00,1396.00,1398.00
31449,1,1,-0.38,5.15,-0.72,3.87,-0.06,-0.44,-0.45,4.52,-0.65,0.00000084,1396.00,1398.00,1398.00,1396.00
31510,1,1,-0.47,5.16,-0.71,-2.19,-0.44,0.50,-0.54,4.53,-0.64,-0.00000025,1397.00,1397.00,1397.00,1397.00
31669,1,1,0.27,5.14,-0.70,-5.00,0.69,0.62,0.20,4.51,-0.63,-0.00000098,1398.00,1396.00,1396.00,1398.00
