micros,flip,phase,spf_roll,roll_abs,roll,pitch,yaw,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
98868,0,0,350.00,70.49,-0.89,4.67,1.77,0.00,3.75,-1.44,-3.00,1013.00,1015.00,1015.00,1013.00
98900,0,0,350.00,70.49,-0.99,4.66,1.77,0.00,2.62,-1.55,-3.37,1012.00,1016.00,1016.00,1012.00
99100,0,0,350.00,70.49,-1.68,4.62,1.77,0.00,1.00,-2.37,-2.12,1012.00,1016.00,1016.00,1012.00
99902,0,0,350.00,70.49,-1.82,4.55,1.77,0.00,1.69,-2.48,-3.44,1012.00,1016.00,1016.00,1012.00
100481,0,0,350.00,70.49,-1.27,4.55,1.77,0.00,1.81,-1.96,-2.06,1013.00,1015.00,1015.00,1013.00
100514,0,0,350.00,70.49,-1.39,4.55,1.76,0.00,3.75,-2.03,-2.87,1012.00,1016.00,1016.00,1012.00
100713,0,0,350.00,70.49,-1.64,4.55,1.77,0.00,-0.06,-2.27,0.19,1013.00,1015.00,1015.00,1013.00
101285,0,0,350.00,70.49,-1.55,4.54,1.77,0.00,2.31,-2.16,-2.87,1012.00,1016.00,1016.00,1012.00
101331,0,0,350.00,70.49,-1.58,4.54,1.76,0.00,0.50,-2.28,-1.06,1013.00,1015.00,1015.00,1013.00
101530,0,0,350.00,70.49,-1.39,4.55,1.77,0.00,-3.62,-2.09,4.06,1014.00,1014.00,1014.00,1014.00
102112,0,0,350.00,70.49,-1.58,4.54,1.76,0.00,1.75,-2.17,-2.50,1012.00,1016.00,1016.00,1012.00
102141,0,0,350.00,70.49,-1.60,4.54,1.77,0.00,-0.25,-2.23,-1.31,1013.00,1015.00,1015.00,1013.00
102323,0,0,350.00,70.49,-1.17,4.55,1.77,0.00,-4.19,-1.91,4.12,1014.00,1014.00,1014.00,1014.00
102442,0,0,350.00,70.49,-0.97,4.55,1.77,0.00,-0.37,-1.67,0.25,1014.001014.00,1014.00,1014.00,1014.00
102901,0,0,350.00,70.49,-1.53,4.54,1.77,0.00,-0.75,-2.16,0.75,1014.00,1014.00,1014.00,1014.00
102945,0,0,350.00,70.49,-1.51,4.54,1.77,0.00,-0.75,-2.15,0.62,1014.00,1014.00,1014.00,1014.00
103710,0,0,350.00,70.49,-1.34,4.55,1.77,0.00,-3.31,-2.11,3.06,1014.00,1014.00,1014.00,1014.00
103746,0,0,350.00,70.49,-1.24,4.55,1.77,0.00,-2.06,-1.98,2.94,1014.00,1014.00,1014.00,1014.00
104507,0,0,350.00,70.49,-1.84,4.50,1.79,0.00,4.62,-2.43,-4.31,1188.00,1194.00,1194.00,1188.00
104548,0,0,350.00,70.49,-2.02,4.48,1.79,0.00,2.87,-2.58,-6.25,1198.00,1204.00,1204.00,1198.00
104734,0,0,350.00,70.49,-1.04,4.38,1.81,0.00,-9.00,-1.93,12.13,1222.00,1216.00,1216.00,1222.00
104861,0,0,350.00,70.49,-0.28,4.36,1.82,0.00,-4.25,-0.95,5.62,1223.001224.00,1222.00,1222.00,1224.00
105316,0,0,350.00,70.49,-1.44,4.39,1.81,0.00,-4.37,-2.16,3.12,1266.00,1266.00,1266.00,1266.00
105352,0,0,350.00,70.49,-1.32,4.37,1.80,0.00,-1.87,-1.97,3.37,1266.00,1266.00,1266.00,1266.00
105542,0,0,350.00,70.49,-0.77,4.39,1.81,0.00,-1.25,-1.41,0.00,1267.00,1267.00,1267.00,1267.00
106141,0,0,350.00,70.49,-0.97,4.40,1.81,0.00,-2.87,-1.70,1.56,1267.00,1267.00,1267.00,1267.00
106169,0,0,350.00,70.49,-0.98,4.40,1.81,0.00,-1.56,-1.70,-1.62,1266.00,1268.00,1268.00,1266.00
106922,0,0,350.00,70.49,-1.29,4.55,1.83,0.00,-1.19,-2.01,-0.13,1308.00,1310.00,1310.00,1308.00
106960,0,0,350.00,70.49,-1.27,4.59,1.83,0.00,0.62,-1.96,0.94,1309.00,1309.00,1309.00,1309.00
107192,0,0,350.00350.00,70.49,-1.27,4.60,1.84,0.00,1.50,-1.96,-0.62,1308.00,1310.00,1310.00,1308.00
107730,0,0,350.00,70.49,-1.28,4.64,1.85,0.00,3.69,-1.93,-0.13,1308.00,1310.00,1310.00,1308.00
107776,0,0,350.00,70.49,-1.28,4.68,1.84,0.00,-2.56,-2.00,-0.37,1308.00,1310.00,1310.00,1308.00
108359,1,1,42.55,0.42,0.31,4.73,2.01,466.67,-64.31,-42.12,-429.29,111.00,1493.00,1493.00,1125.00
108421,1,1,76.68,4.55,9.27,4.50,2.28,466.67,-176.87,-72.14,-316.85,1144.00,1474.00,1474.00,1144.00
109107,1,0,350.00,29.49,55.41,2.58,3.06,0.00,36.13,55.21,1.12,1340.00,1278.00,1278.00,1340.00
109453,1,0,350.00,29.49,-19.16,5.23,2.00,0.00,93.37,-17.88,-126.00,1250.00,1368.00,1368.00,1250.00
111080,1,0,350.00,29.49,-0.25,4.76,2.50,0.00,20.81,-0.52,-23.94,1196.00,1214.00,1214.00,1196.00
111293,1,0,350.00,29.49,-2.11,4.85,2.43,0.00,-11.25,-3.07,6.37,1100.00,1100.00,1100.00,1100.00
111326,1,0,350.00,29.49,-1.63,4.84,2.43,0.00,-14.87,-2.64,17.31,1074.00,1064.00,1064.00,1074.00
111526,1,0,350.00,29.49,0.34,4.81,2.45,0.00,-13.25,-0.56,18.12,1020.00,1008.00,1008.00,1020.00
111561,1,0,350.00,29.49,0.29,4.81,2.48,0.00,5.00,-0.34,2.12,1014.00,1014.00,1014.00,1014.00
112558,0,0,350.00,29.49,-0.56,4.83,2.45,0.00,11.63,-1.07,-4.37,1012.00,1016.00,1016.00,1012.00
112797,0,0,350.00,29.49,-1.93,4.85,2.46,0.00,4.06,-2.52,-7.75,1010.00,1018.00,1018.00,1010.00
112838,0,0,350.00,29.49,-1.80,4.85,2.46,0.00,-8.94,-2.63,-0.31,1013.00,1015.00,1015.00,1013.00
113035,0,0,350.00,29.49,0.07,4.83,2.49,0.00,-14.31,-0.92,12.06,1018.00,1010.00,1010.00,1018.00
113064,0,0,350.00,29.49,0.46,4.83,2.49,0.00,-11.44,-0.48,15.25,1019.00,1009.00,1009.00,1019.00
114291,0,0,350.00,29.49,-1.29,4.86,2.52,0.00,-5.00,-2.04,8.37,1016.00,1012.00,1012.00,1016.00
114317,0,0,350.00,29.49,-1.24,4.86,2.54,0.00,-0.19,-1.88,2.62,1014.00,1014.00,1014.00,1014.00
114516,0,0,350.00,29.49,-0.10,4.84,2.59,0.00,3.75,-0.66,-3.12,1013.00,1015.00,1015.00,1013.00
115325,0,0,350.00,29.49,0.12,4.85,2.61,0.00,3.19,-0.55,2.94,1028.00,1028.00,1028.00,1028.00
115367,0,0,350.00,29.49,-0.11,4.85,2.63,0.00,9.50,-0.65,-5.75,1039.00,1043.00,1043.00,1039.00
116126,0,0,350.00,29.49,-0.21,4.87,2.65,0.00,-0.69,-0.91,-0.75,1354.00,1354.00,1354.00,1354.00
116479,0,0,350.00,29.49,0.33,4.88,2.68,0.00,-6.25,-0.49,5.25,1502.00,1500.00,1500.00499.00,1503.00
116706,0,0,350.00,29.49,-0.28,4.86,2.70,0.00,2.81,-0.96,-1.06,1527.00,1527.00,1527.00,1527.00
116743,0,0,350.00,29.49,-0.57,4.86,2.70,0.00,9.50,-1.10,-6.81,1534.00,1540.00,1540.00,1534.00
117277,0,0,350.00,29.49,-0.09,4.91,2.72,0.00,5.81,-0.61,-6.00,1590.00,1594.00,1594.00,1590.00
118200,0,0,350.00,29.49,0.43,4.95,2.22,0.00,-6.50,-0.26,1.00,1631.00,1631.00,1631.00,1631.00
118548,0,0,350.00,29.49,0.46,4.97,1.87,0.00,-2.50,-0.20,-2.06,1639.00,1639.00,1639.00,1639.00
118589,0,0,350.00,29.49,0.64,4.94,1.85,0.00,-7.81,-0.14,5.12,1642.00,1640.00,1640.00,1642.00
118686,0,0,350.00,29.49,0.60,4.96,1.87,0.00,11.25,0.10,-6.50,1643.001649.00,1657.00,1657.00,1649.00
118923,0,0,350.00,29.49,0.77,5.04,1.78,0.00,-5.87,0.05,4.81,1657.00,1655.00,1655.00,1657.00
119233,0,0,350.00,29.49,1.46,5.02,2.25,0.00,2.94,0.88,-2.12,1657.00,1657.00,1657.00,1657.00
119272,0,0,350.00,29.49,1.45,5.02,2.30,0.00,0.81,0.82,-1.44,1657.00,1657.00,1657.00,1657.00
119580,0,0,350.00,29.49,0.70,4.91,2.31,0.00,0.37,0.03,-2.31,1667.00,1667.00,1667.00,1667.00
120044,0,0,350.00,29.49,1.10,5.12,2.07,0.00,-3.44,0.41,-1.50,1675.00,1675.00,1675.00,1675.00
120082,0,0,350.00,29.49,1.13,5.13,2.06,0.00,2.75,0.46,4.50,1679.00,1675.00,1675.00,1679.00
120385,0,0,350.00,29.49,0.85,4.87,1.99,0.00,-3.12,0.16,2.06,1680.00,1680.00,1680.00,1680.00
120423,0,0,350.00,29.49,0.98,4.90,2.02,0.00,-3.56,0.22,3.37,1681.00,1679.00,1679.00,1681.00
120478,0,0,350.00,29.49,0.77,4.94,1.99,0.00,5.81,0.18,-5.75,1678.001678.00,1682.00,1682.00,1678.00
120727,0,0,350.00,29.49,-0.02,5.01,1.76,0.00,3.25,-0.66,-3.37,1683.00,1685.00,1685.00,1683.00
120764,0,0,350.00,29.49,-0.11,5.00,1.79,0.00,2.56,-0.76,-3.62,1683.00,1685.00,1685.00,1683.00
121086,0,0,350.00,29.49,-0.59,5.05,1.76,0.00,3.25,-1.26,-1.56,1688.00,1690.001691.00,1691.00,1687.00
121539,0,0,350.00,29.49,-0.68,5.00,1.67,0.00,6.19,-1.26,-5.69,1694.00,1698.00,1698.00,1694.00
121579,0,0,350.00,29.49,-0.88,4.99,1.69,0.00,5.87,-1.52,-7.06,1693.00,1699.00,1699.00,1693.00
122115,0,0,350.00,29.49,-0.47,4.74,1.79,0.00,2.69,-1.14,-3.31,1699.00,1701.00,1701.00,1699.00
122337,0,0,350.00,29.49,0.29,4.90,1.93,0.00,-9.13,-0.57,5.69,1701.00,1699.00,1699.00,1701.00
123619,1,0,350.00,84.90,36.88,3.87,3.23,0.00,-67.19,34.49,159.56,1782.00,1618.00,1618.00,1782.00
123656,1,0,350.00,84.90,34.09,3.61,3.04,0.00,103.37,35.96,-42.63,1703.00,1697.00,1697.00,1703.00
123952,1,0,350.00,84.90,-15.40,4.55,1.83,0.00,-145.69,-17.43,96.12,1728.00,1672.00,1672.00,1728.00
124992,1,0,350.00,84.90,-0.92,5.03,2.89,0.00,-36.94,-2.28,35.56,1712.00,1688.00,1688.00,1712.00
125157,1,0,350.00,84.90,-0.50,5.16,2.90,0.00,17.19,-0.86,-10.25,1,1716.00,1716.00,1684.00
125455,1,0,350.00,84.90,-1.41,5.02,2.56,0.00,-24.81,-2.35,25.62,1708.00,1692.00,1692.00,1708.00
125491,1,0,350.00,84.90,-0.59,4.89,2.61,0.00,-17.31,-1.65,22.37,1707.00,1693.00,1693.00,1707.00
125680,1,0,350.00,84.90,-1.83,4.89,2.86,0.00,12.38,-2.34,-12.38,1694.00,1706.00,1706.00,1694.00
125904,1,0,350.00,84.90,-1.94,4.93,2.99,0.00,-2.06,-2.66,8.56,1701.00,1699.00,1699.00,1701.00
125946,1,0,350.00,84.90,-1.90,4.82,2.92,0.00,-0.75,-2.62,0.88,1699.00,1701.00,1701.00,1699.00
126733,1,0,350.00,84.90,-3.82,4.99,1.79,0.00,-11.69,-4.66,8.44,1700.00,1700.00,1700.00,1700.00
126941,1,0,350.00,84.90,-3.12,5.18,2.14,0.00,0.13,-3.82,1.00,1699.00,1701.00,1701.00,1699.00
127743,1,0,350.00,84.90,-3.78,5.49,2.20,0.00,-5.25,-4.56,0.56,1678.00,1682.00,1682.00,1678.00
127789,1,0,350.00,84.90,-3.53,5.41,2.10,0.00,-9.94,-4.40,8.25,1678.00,1678.00,1678.00,1678.00
128346,1,0,350.00,84.90,-4.28,5.28,3.05,0.00,-2.69,-4.94,1.56,1603.00,1607.00,1607.00,1603.00
128569,1,0,350.00,84.90,-3.93,5.09,2.89,0.00,4.25,-4.49,-1.31,1576.00,1582.00,1582.00,1576.00
129162,1,0,350.00,84.90,-2.82,5.02,2.87,0.00,3.94,-3.48,-4.12,1498.00,1504.00,1504.00,1498.00
129195,1,0,350.00,84.90,-2.94,5.03,2.87,0.00,2.37,-3.52,-3.19,1498.00,1504.00,1504.00,1498.00
129354,1,0,350.00,84.90,-2.81,5.01,2.90,0.00,-5.69,-3.60,3.87,1462.00,1462.00,1462.00,1462.00
129709,1,0,350.00,84.90,-3.14,5.01,2.92,0.00,-1.75,-3.87,1.69,1283.00,1285.00,1285.01251.00,1249.00
129933,1,0,350.00,84.90,-4.01,4.93,2.93,0.00,8.50,-4.62,-7.31,1012.00,1022.00,1022.00,1012.00
