millis,armed,flip,roll,pitch,yaw,mfr,fp,gx,gy,gz,spr,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
38623,0,0,0.27,5.34,0.03,0.00,0,-0.13,-0.06,0.06,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
40116,0,0,0.27,5.34,0.03,0.00,0,-0.06,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
40358,0,0,0.27,5.34,3,0.00,0,0.00,0.06,0.06,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
40573,0,0,0.27,5.34,0.03,0.00,0,0.00,0.00,0.13,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
41652,0,0.27,5.34,0.03,0.00,0,-0.06,-0.13,-0.06,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00>00,1000.00
41712,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.00,0.06,0.00,0.27,5.34,0.0,-0.00000010,1000.00,1000.00,1000.00,1000.00
41876,0,0,0.27,5.34,0.03,0.00,0,0.06,0.06,0.00,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.000.00
41941,0,0,0.27,5.34,0.03,0.00,0,0.06,-0.19,0.00,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00
42181,0,0,0.27,5.,0.03,0.00,0,0.00,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
44024,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
45150,0,0,0.<55932,0,0,0.27,5.34,0.03,0.00,0,-0.06,-0.06,0.00,0.00,0.27,5.,1000.00,1000.00,1000.00
45392,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.19,0.06,0.00,0.27,5,0.03,-0.00000007,1000.00,1000.00,1000.00,1000.00
45634,0,0,0.27,5.34,0.03,0.00,0,0.19,-0.13,-0.13,0.00,0.27,5.34,0.03,-0.00000004,1000.00,1000.00,1000.00,1000.00
47592,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.00,0.06,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
47701,0,0,0.27,5.34,0.03,0.00,0,-0.13,-0.06,-0.13,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
48597,0,0,0.27,5.34,0.0<59379,0,0,0.27,5.34,0.03,0.00,0,0.06,0.00,0.06,0.00,0.27,5.34000.00,1000.00
48836,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00005,1000.00,1000.00,1000.00,1000.00
49006,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.19,-0.19,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000..00
49067,0,0,0.27,5.34,0.03,0.00,0,0.25,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000003,1000.00,1000.00,1000.00,1000.00
50232,0,0,0.27,5.34,0.03,0.00,0,-0.19,0.00,0.00,0.00,0.27,5.34,0.03,-0.00000011,1000.00,1000.00,1000.00,1000.00
50911,0,0,0.27,5.34,0.03,0.00,0,0,0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000004,1000.00,1000.00,1000.00,1000.00
51147,0,0,0.27,5.34,0.03,0.00,0,0.13,0.00,-0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
51189,0,0,0.27,5.34,0,0.00,0,-0.06,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
52281,0,<63061,0,0,0.27,5.34,0.03,0.00,0,0.13,0.06,0.13,0.00,0.27,5.34,1000.00,1000.00,1000.00,1000.00
52752,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.19,-0.13,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
52783,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.6,-0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
52877,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.06,0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
54126,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.06,0.06,0.00,0.27,5.34,0.03,-0009,1000.00,1000.00,1000.00,1000.00
54351,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.13,0.06,0.00,0.27,5.34,0.03,-0.00000010,1000.00,1000.00,1000.00,1000.00
54381,0,0,0.27,5.34,0.03,0.00,0,-0.13,0.13,0.00,0.00,0.27,5.34,3,-0.00000010,1000.00,1000.00,1000.00,1000.00
54829,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.06,0.00,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
55729,0,0,0.27,5.34,0.03<66507,0,0,0.27,5.34,0.03,0.00,0,-0.25,-0.06,0.06,0.00,0.27,5.000.00,1000.00
55965,0,0,0.27,5.34,0.03,0.00,0,0.13,-0.13,0.06,0.00,0.27,5.34,0.03,-0.0000005,1000.00,1000.00,1000.00,1000.00
56214,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.19,-.06,0.00,0.27,5.34,0.03,-0.00000008,1000.00,1000.00,1000.00,1000.00
56431,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.13,0.06,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
58272,1,0,0.27,5.34,0.03,0.00,0,0.25,0.13,0.00,0.00,0.27,5.34,0.03,-0.00000003,1000.00,1000.00,1000.00,1000.00
59211,1,0,0.27,5.34,0.03,0.00,0,0.13,-0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
59874,0,0,0.27,5.34,0.03,0.00,0,0.06,0.00,0.06,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00
61726,0,0,0.27,5.34,0.03,0.,0,0.19,-0.19,0.00,0.00,0.27,5.34,0.03,-0.00000004,1000.00,1000.00,1000.00,1000.00
61961,0,0,0.27,5.34,0.03,0.00,0,0.00,0.13,-0.06,0.00,0.27,5.34,0.03,-0.00000008,1000.00,1000.00,1000.00,1000.00
61996,0,0,0.27,5.34,0,0.00,0,0.13,-0.13,-0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00
62852,0,0,0.27,5.34,0.03,0.00<73633,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.06,0.06,0.00,0.27,5.31000.00
63084,0,0,0.27,5.34,0.03,0.00,0,0.13,0.06,0.00,0.00,0.27,5.34,0.03,-0.00000005,00.00,1000.00,1000.00,1000.00
63325,0,0,0.27,5.34,0.03,0.00,0,-0.06,0.13,0.06,0.0,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
63565,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.06,0.13,0.00,0.27,5.34,0.03,-0.00000008,1000.00,1000.00,1000.00,1000.00
65407,0,0,0.27,5.34,0.03,0.00,0,-0.19,-0.06,0.13,0.00,0.27,5.34,0.03,-0.00000011,1000.00,1000.00,1000.00,1000.00
65635,0,0,0.27,5.34,0.03,0.00,0,-0.06,-0.06,-0.06,0.00,0.27,5.34,0.03,-0.00000009,1000.00,1000.00,1000.00,1000.00
66710,0,0.27,5.34,0.03,0.00,0,0.06,0.13,-0.06,0.00,0.27,5.34,0.03,-0.00000006,1000.00,1000.00,1000.00,1000.00>,1000.00
66772,0,0,0.27,5.34,0.03,0.00,0,0.00,-0.06,0.00,0.00,0.27,5.34,0.03,-000008,1000.00,1000.00,1000.00,1000.00
66946,0,0,0.27,5.34,0.03,0.00,0,0.13,0.13,0.06,0.00,0.27,5.34,0.03,-0.00000005,1000.00,1000.00,1000.00,1000.00.00
