millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
65104,0,-0.25,5.20,-1.27,-17.44,-0.62,-0.37,-0.65,4.58,-1.20,-0.00000306,1020.00,1008.00,1008.00,1020.00
65324,0,1.48,5.19,-1.28,1.87,0.19,-0.31,1.43,4.57,-1.21,-0.0000005-0.00000004,1014.00,1014.00,1014.00,1014.00
66046,0,1.66,5.16,-1.30,-0.37,0.00,-0.06,1.57,4.53,-1.22,-0.0000012200000051,1015.00,1013.00,1013.00,1015.00
66371,0,-2.43,5.21,-1.30,2.87,0.13,-0.06,-2.43,4.58,-1.23,0.00000171,1011.00,1017.00,1017.00,1011.00
67023,0,-1.39,5.22,-1.31,16.56,0.37,0.25,-1.30,4.59,-1.24,0.0000,1008.00,1020.00,1020.00,1008.00
67073,0,-2.27,5.22,-1.31,8.00,0.37,0.19,-2.20,4.59,-1.24,0.00000229,1010.00,1018.00,1018.00,1010.00
67103,0,-2.38,5.23,-1.31,2.69,0.06,-0.13,-2.38,4.60,-1.24,0.00000162,1011.00,1017.00,1017.00,1011.00
67762,0,-1.85,5.23,-1.32,12.38,0.50,0.13,-1.80,4.60,-1.26,0.00000321,1008.00,1020.00,1020.00,1008.00
67797,0,-2.21,5.23,-1.33,7.50,0.31,0.13,-2.13,4.59,-1.26,0.00000246,1009.00,1019.00,1019.00,1009.00
68449,0,-1.33,5.22,-1.34,14.75,0.50,0.37,-1.10,4.58,-1.27,0.00000333,1008.00,1020.00,1020.00,1008.00
69480,0,-0.05,5.20,-1.37,-17.50,-0.62,-0.37,-0.29,4.57,-1.30,-0.00000312,1020.00,1008.00,1008.00,1020.00
69521,0,0.59,5.20,-1.37,-16.56,-0.37,-0.37,0.20,4.57,-1.30,-0.00000321,1020.00,1008.00,1008.0,1020.00
69688,0,1.59,5.19,-1.37,3.31,0.13,0.06,1.56,4.56,-1.31,-0.00000030.00000019,1014.00,1014.00,1014.00,1014.00
70741,0,-2.16,5.19,-1.40,-0.81,0.00,0.13,-2.24,4.56,-1.33,0.00000097,1013.00,1015.00,1015.00,1013.00
71436,0,-2.10,5.18,-1.42,4.25,0.37,0.19,-2.07,4.55,-1.34,0.00000187,1011.00,1017.00,1017.00,1011.00
72059,0,-1.27,5.18,-1.43,14.62,0.50,0.31,-1.05,4.56,-1.36,0.00000315,10,1020.00,1020.00,1008.00
72125,0,-2.03,5.19,-1.43,8.19,0.31,0.19,-1.93,4.55,-1.36,0.00000237,1010.00,1018.00,1018.00,1010.00
72515,0,1.39,5.18,-1.43,-6.37,-0.06,-0.06,1.19,4.55,-1.36,-0.00000199,1018.00,1000,1012.00,1016.00
74316,0,-1.87,5.19,-1.46,6.50,0.31,0.06,-1.82,4.56,-1.40,0.000001990.00000173,1011.00,1017.00,1017.00,1011.00
74792,0,1.30,5.18,-1.48,4.87,0.06,0.13,1.32,4.55,-1.41,0.00000007,1014.00,1014.001015.00,1015.00,1013.00
75046,0,-1.78,5.20,-1.49,5.37,0.13,0.06,-1.73,4.57,-1.42,0.00000188,1,1016.00,1016.00,1012.00
75117,0,-1.80,5.20,-1.49,-3.50,-0.13,-0.19,-1.92,4.57,-1.41,0.00000036,1014.00,1014.00,1014.00,1014.00
76695,0,-1.19,5.22,-1.53,-11.81,-0.31,-0.31,-1.38,4.54.58,-1.46,-0.00000222,1018.00,1010.00,1010.00,1018.00
76839,0,1.11,5.21,-1.54,-8.06,-0.13,-0.06,0.88,4.58,-1.47,-0.00000208,1018.00,1010.00,1010.00,1018.00
77076,0,-0.17,5.20,-1.55,13.81,0.44,0.25,0.03,4.58,-1.48,0.00000249,1009.00,1019.00,1019.00,1009.00
77762,0,0.41,5.19,-1.56,11.81,0.50,0.19,0.57,4.56,-1.49,0.00000187,1011.00,1017.00,1017.00,1011.00
77797,0,0.01,5.19,-1.56,13.63,0.44,0.19,0.08,4.56,-1.49,0.00000234,1010.00,1018.00,1018.00,1010.00
78030,0,-1.75,5.20,-1.56,-3.00,0.00,-0.25,-1.89,4.57,-1.49,0.00000022,1014.00,1014..00,1014.00,1014.00
78448,0,0.70,5.19,-1.57,9.31,0.31,0.19,0.72,4.56,-1.50,0.00000133,1012.00,1016.00,1016.00,1012.00
78727,0,-1.93,5.19,-1.58,0.62,0.06,-0.13,-1.98,4.56,-1.51,0.00000108,1012.00,1016.00,1016.00,014.00
79052,0,1.15,5.19,-1.58,-7.12,0.00,-0.13,0.96,4.56,-1.51,-0.000001760.00000161,1017.00,1011.00,1011.00,1017.00
79141,0,1.13,5.19,-1.57,5.19,0.19,0.19,1.11,4.56,-1.51,0.00000028,1014.00,1014.00,1014.00,1014.00
79973,1,0.12,5.19,-1.59,12.88,0.50,0.25,0.17,4.55,-1.52,0.000002190.00000236,1010.00,1018.00,1018.00,1010.00
